Servicio,Distrito,Medidor
100510,18,9001148
127242,35,9007698
127461,36,9118923
279534,28,9010012
329051,3,9018378
419232,1,9118553
420059,1,9117008
420631,1,9117532
420659,1,9116546
420812,1,9017587
421342,1,9017934
421540,1,9117662
422016,1,9003062
422050,1,9017873
422910,1,9072043
767205,1,9118749
849163,28,9119433
464789,1,9120198
127159,35,9118125
576628,1,9116456
127775,39,9118880
419066,1,9116625
654928,1,9116646
127251,35,9018035
930174,1,9119727
921220,1,9116551
753058,1,9118537
362261,45,9118737
167920,11,9119390
818648,1,9116089
958830,1,9117830
958766,1,9116854
480441,1,9120047
972629,1,9117857
363130,47,9120239
696102,1,9118612
419342,1,9119363
279272,28,9120083
329376,2,9118908
989748,26,9120194
822799,1,9120070
910976,1,9120231
420863,1,9103039
885622,37,9029701
1009911,40,9010655
693168,1,9117020
127690,37,9022018
106017,21,9014500
181799,15,9117883
1022485,47,
168254,8,9115553
576797,1,9117000
168263,8,9115593
168234,8,9115879
279157,28,9115781
419765,1,9116967
951959,23,9118670
333081,22,9119887
168266,8,9115877
279182,28,9068293
819616,1,9102819
750760,1,9117356
137346,44,7396051
420299,1,9117347
407856,47,9117414
203468,8,9118431
127457,36,9007695
859014,5,9119849
755505,1,9117151
841651,1,9115936
363089,47,9102953
359885,22,9118953
329309,2,9119973
127636,37,9018385
1143196,28,9119669
943192,22,9118495
329445,2,9120279
362416,45,9119277
650362,1,9117734
586561,1,9120059
777343,1,9120038
1218158,1,9118036
571079,1,9116019
830934,46,9006357
420195,1,9117210
329980,28,9120145
420590,1,9117061
629664,1,9117200
1294422,1,9115576
168944,16,9119413
278392,34,9000617
307326,2,9028871
421904,1,9118227
422132,1,9118133
769548,1,9018195
883012,36,9015051
952491,1,9118344
1034906,2,9021320
419475,1,9117596
1216691,28,9117486
744753,1,9118456
873063,8,9009523
535748,1,9116592
362372,45,9119553
727872,1,9117280
728454,1,9116749
1392012,47,9011681
278427,33,9115795
1406416,1,
259838,28,9015317
431750,1,9117278
419354,1,9102890
419204,1,9118449
419838,1,9117138
1507715,1,9117294
1212795,1,9025377
127221,35,9018207
127625,37,9008128
1202994,6,9102996
279521,28,7374
1766367,40,9119825
1040369,21,9118310
419155,1,9117537
789866,1,9117021
947309,37,9028197
2671207,23,9017917
279419,28,9119441
278624,29,9115856
904328,1,9115967
399562,47,9028846
2727981,1,9117689
391205,49,9120229
336789,22,9118651
419943,1,9116094
732080,1,9116758
873205,1,9116982
2760208,1,9116389
2763252,1,9120234
905426,43,9029596
279404,28,9118681
648086,1,9118029
2783572,1,9019117
148699,36,9027566
100229,18,9115641
2788308,1,
1015092,1,9117657
439613,1,9117728
1006283,1,9119294
279455,28,9072555
645056,1,9117553
693491,1,9117667
2797959,1,
1070451,24,9120137
362153,45,9115502
526162,1,9117619
1306422,1,9118282
343138,22,9024679
278394,34,9115817
127178,35,9119267
1452904,47,9028939
649892,1,9118532
2802933,1,9118058
362407,45,9119262
360426,26,9103053
279382,28,9120078
362399,45,9102767
431020,1,9117739
755452,1,9116591
1305638,1,9117051
850002,18,9118709
821561,1,9119315
1548688,1,9119340
1411353,1,9115629
2738757,1,9117055
2826965,1,9118639
199491,8,9019066
158579,35,9120107
961125,35,9102712
2834589,1,
1338847,26,9115767
421818,1,9117668
409882,47,9099725
2803656,1,9116671
652628,1,9117715
421972,1,9117185
419406,1,9117166
2775007,2,9119974
1524624,23,9118644
165706,35,9120115
321259,49,9029312
127844,40,9118796
978745,25,9119901
419185,1,9119271
735575,1,9119710
533956,1,9117239
2792215,1,9116781
161499,36,9118840
845517,18,9000662
830751,18,9006041
388301,47,9118967
120219,18,9118692
127361,35,9102715
1218114,1,9116054
924204,1,9118313
317303,2,9119985
419748,1,9117089
2718374,1,9115574
2861710,41,9018190
420167,1,9119702
278429,33,9115839
827761,22,9115825
420602,1,9116827
2892939,26,9115755
1077920,1,9117682
1208322,1,9117788
1339271,22,9115943
127426,36,9118843
574906,1,9115944
419076,1,9102981
118085,18,9119932
2904102,1,
2812627,1,9117888
496278,1,9116921
2908280,1,
420688,1,9018334
1015416,1,9119318
419577,1,9117723
970160,18,9118716
920255,1,9119796
659291,1,9116642
504539,1,9103081
2865195,18,
594985,1,9117691
850894,1,9116521
191924,8,9119961
933263,13,9117867
743126,1,9116562
1049584,36,9118798
2928244,1,9119083
418251,1,9117595
243673,28,9117404
2898342,8,9102921
887778,1,9117366
191311,8,9119211
127152,35,9120109
2938507,1,9119492
279424,28,9119445
770340,1,9119898
1370132,24,9119769
127418,36,9118811
134165,39,9118878
2943746,1,
999538,28,9119666
2867061,1,9120897
1035194,47,9119819
643899,1,9119884
576029,1,9116005
2782108,1,9116043
2795793,1,9117703
2954616,1,
419042,1,9115984
937947,26,9102917
2813082,22,9007354
1075793,1,9116039
175118,15,9014903
2812353,1,9116458
419709,1,9117373
1176137,1,9116493
1049583,1,9117652
1049530,1,9117757
2746773,1,9116920
418416,1,9118571
189598,8,9102968
760198,1,9117783
419225,1,9117065
100446,18,9118680
639405,1,9117716
974676,28,9119444
881249,46,9118257
883686,5,9118907
421426,1,9117148
928278,28,9102885
135958,41,9001614
419346,1,9118750
1426667,26,9102925
127187,35,9117513
862445,35,9120094
348656,23,9107882
1260888,1,9102984
3000535,35,9102710
127860,40,9018626
2982208,28,9120139
2997426,1,9116733
420734,1,9102834
1540917,1,9116593
2998061,26,9102822
161397,36,9115699
360419,26,9115743
2991690,22,9102824
363112,47,9117394
1014452,46,9119854
1494873,8,9119588
191530,8,9009103
2991485,1,9117816
2999453,1,9118614
421695,1,9116422
2996046,26,
652136,1,9116852
2774113,1,9117260
2769316,1,9117663
401660,47,9119741
2908431,1,9118377
939260,46,9002863
383346,45,9119261
3010024,1,
958142,1,9118279
168227,8,9115654
128093,44,9119861
933883,1,9117674
419773,1,9117372
1284172,1,9116088
958741,1,9116903
2776577,22,9118895
831673,8,9118220
2754822,1,9117878
2871932,1,9117119
572422,1,9117661
860847,1,9116662
363140,47,9119163
293364,6,9120015
986449,1,9117168
419738,1,9116402
2748033,1,9102830
831979,6,9119729
1984564,2,9115823
1044374,21,9118697
1029606,18,9119244
419821,1,9115611
420103,1,9118484
610609,1,9116653
2784639,1,9116425
869729,44,9119227
831853,28,9010011
139193,39,9118876
361572,46,
833325,28,9115597
948303,47,9119510
419055,1,9117346
2921137,1,9116459
419673,1,9116539
887299,1,9119503
419355,1,9119304
966415,6,9115740
375004,45,9118322
419428,1,9118290
388311,47,9102947
430701,1,9118239
1076032,1,9118595
127349,35,9115652
1040172,1,9115925
586577,1,9119634
330329,36,9118867
3019646,1,9119059
419812,1,9115976
3026148,24,9117447
680610,1,9117785
1161982,47,9119592
360146,23,9118985
279263,28,9120368
362516,49,9115714
886890,1,9117187
943410,47,9102795
419050,1,9102837
895062,1,9115500
3030864,1,9119078
868412,1,9118564
2735399,1,9119097
2917806,1,9117976
3017564,1,
3036144,28,9117474
1062126,47,9119882
419601,1,9117363
875360,18,9103083
127640,37,9117495
2905952,8,9118171
419411,1,9118288
100548,18,9117914
2756276,22,9117693
900694,1,9118135
2983633,18,9116842
100425,18,9116091
644887,1,9117032
420004,1,9116721
419941,1,9116738
419530,1,9117310
846968,47,9118394
363101,47,9118373
631095,1,9119057
1299789,1,9119813
3039857,6,9118243
279451,28,9118821
2997777,47,9117632
419327,1,9118148
419525,1,9116386
928454,1,9102972
1161304,28,9119641
3040043,26,9119197
124465,18,9118777
1347653,29,9117997
421416,1,9117736
